Gene	log2(MB231_day21)-log2(MB231_day7)	log2(LM2_day21)-log2(LM2_day7)
UGT2B7	-0.189884552	-1.049636228
MARCH3	-0.806793662	-0.689137834
MARCH4	-0.311504099	-1.436638323
MARCH5	-0.351648193	-1.799676307
MARCH6	-0.80443229	-1.028284975
MARCH7	-0.456613001	-0.227891083
MARCH8	-0.135293231	-0.137238898
MARCH9	-0.693599989	-2.441745776
MARCH10	-0.173869267	-0.246869922
MARCH11	0.074811465	-0.004148746
SEPT2	0.099044933	-0.049510258
SEPT3	-0.209758491	-0.663378248
SEPT4	-0.547051288	-0.379290315
SEPT5	-0.602502608	-1.261760134
SEPT6	-0.102809224	-0.159945371
SEPT7	-1.404227463	-1.994526351
SEPT8	-0.307768235	-2.273785902
SEPT9	-0.019761862	-0.349991922
SEPT10	-0.454624738	-0.037095161
SEPT11	-0.32606869	-0.344252219
SEPT12	-0.136181208	0.229225412
SEPT14	-0.490352811	-1.16165497
SEP15	-0.622557107	-1.490480296
DEC1	-0.246118776	-0.946326688
A1BG	-0.120810929	-0.530951054
A1CF	0.203241361	-1.342918714
A2M	0.194773745	-0.431418101
A2ML1	-0.366462562	-1.068094442
A4GALT	-0.156460623	-1.894221421
A4GNT	-0.022026574	-0.599527318
AAAS	-0.878289614	-0.749866611
AACS	-0.197500459	-1.020583532
AADAC	-0.446253661	-1.484653376
AADACL2	-0.266453311	-0.441986609
AADACL3	-0.485131387	-0.456057792
AADACL4	0.025974427	-0.591888123
AADAT	0.107231152	0.156536313
AAGAB	-0.32793853	-0.611600424
AAK1	-1.267273182	0.93775709
AAMP	-0.919233907	-1.654768894
AANAT	-0.340466621	-0.895224736
AARS	-0.944363603	-2.268016288
AARS2	-0.154084532	-0.332382067
AARSD1	-0.129704863	-0.423995796
AASDH	-0.498681173	-3.148911606
AASDHPPT	0.016312295	-0.521667418
AASS	-0.117614783	-0.866334931
AATF	-0.812430732	-1.18379978
AATK	0.350356026	-0.892236776
ABAT	-0.329620281	0.124173774
ABCA1	-0.108711892	0.130574988
ABCA10	0.16572562	-1.388961421
ABCA12	-0.79242402	-0.557179905
ABCA13	0.716430786	-2.362908286
ABCA2	-0.343663292	-1.130973562
ABCA3	-0.109272795	-1.565262877
ABCA4	-0.161461609	-0.467401544
ABCA5	0.228498229	-1.223704774
ABCA6	-0.108122804	0.181260045
ABCA7	-0.619621694	-2.186946421
ABCA8	-0.06900311	-0.516792548
ABCA9	0.054384119	-0.235971855
ABCB1	-0.567491073	-1.337095777
ABCB10	-0.229531281	-0.412739213
ABCB11	0.226300021	-0.009851524
ABCB4	0.124291637	-1.427423883
ABCB5	0.377815693	-1.657674258
ABCB6	-0.280487913	-0.968208778
ABCB7	-1.474921633	-0.993379879
ABCB8	-0.206040968	-0.584961847
ABCB9	-0.235277556	-0.991887597
ABCC1	-0.410812444	0.049666507
ABCC10	-0.193817964	-2.251421151
ABCC11	-0.105333867	-1.387370822
ABCC12	-0.810019957	-0.548389803
ABCC2	-0.475719809	-1.098781408
ABCC3	-0.426525643	-1.420768557
ABCC4	0.564482349	0.101243517
ABCC5	-0.101034415	-0.593350429
ABCC6	-0.519321978	-1.471920842
ABCC8	-0.618982668	-0.218001892
ABCC9	0.039493745	-1.149213707
ABCD1	-0.986168031	-0.179897302
ABCD2	-0.20769713	-0.981015532
ABCD3	0.43957756	-0.513680681
ABCD4	-0.521789468	-3.047977178
ABCE1	-0.858595783	-1.236093573
ABCF1	-0.469935604	-0.455347586
ABCF2	-0.4375875	-0.666137601
ABCF3	-0.233307462	-0.129746274
ABCG1	-0.28873429	-0.484966253
ABCG2	0.301625248	-0.495653399
ABCG4	-0.263293617	-0.904723303
ABCG5	-0.055210138	-0.283331727
ABCG8	-0.627658601	-1.070356901
ABHD1	-0.34550001	-0.811478715
ABHD10	0.047318644	-0.482740093
ABHD11	-0.602284888	-0.689659635
ABHD12	-0.067339978	-0.224520183
ABHD12B	-0.767214448	-0.608007417
ABHD13	-0.338648439	-1.092226502
