SampleID	Label	StemSCAPE-SI
GSM759965	1	0.993285068
GSM759966	1	0.972544582
GSM759967	1	1
GSM759968	1	0.984245327
GSM759969	1	0.960582397
GSM759970	1	0.98117217
GSM759971	1	0.977232866
GSM759972	1	1
GSM759973	1	1
GSM759974	1	0.98617637
GSM759975	1	1
GSM759976	1	1
GSM759977	1	0.923757061
GSM759978	1	0.977446797
GSM759979	1	0.985660819
GSM759980	1	0.995660819
GSM759981	1	0.97328274
GSM759982	1	0.988945887
GSM759983	1	0.995660819
GSM759984	1	0.985071046
GSM759985	1	0.949425371
GSM759986	1	0.988945887
GSM759987	1	0.980731864
GSM759988	1	0.995660819
GSM759989	1	0.98380062
GSM759990	1	1
GSM759991	1	0.947353081
GSM759992	1	1
GSM759993	1	0.993285068
GSM759994	1	0.985744417
GSM759995	1	1
GSM759996	1	1
GSM759997	1	1
GSM759998	1	0.965350566
GSM759999	1	0.995660819
GSM760000	1	1
GSM760001	1	0.971586874
GSM760002	1	0.979699781
GSM760003	1	0.99
GSM760004	1	0.996618049
GSM760005	1	0.988945887
GSM760006	1	0.993285068
GSM760007	1	1
GSM760008	1	1
GSM760009	1	0.99
GSM760010	1	0.995660819
GSM760011	1	0.986570136
GSM760012	1	0.974038962
GSM760013	1	0.954780178
GSM760014	1	1
GSM760015	1	0.96595697
GSM760016	1	0.972618553
GSM760017	1	1
GSM760018	1	1
GSM760019	1	1
GSM760020	1	1
GSM760021	1	0.993285068
GSM760022	1	1
GSM760023	1	0.985551827
GSM760024	1	0.990753894
GSM760025	1	1
GSM760026	1	0.993285068
GSM760027	1	0.956356648
GSM760028	1	0.925107626
GSM760029	1	0.982974901
GSM760030	1	0.979233845
GSM760031	1	0.983071698
GSM760032	1	0.98627744
GSM760033	1	1
GSM760034	1	0.993285068
GSM760035	1	1
GSM760036	1	0.994945504
GSM760037	1	0.989903117
GSM760038	1	0.922211976
GSM760039	1	0.99245935
GSM760040	1	0.889004136
GSM760041	1	1
GSM760042	1	0.98777653
GSM760043	1	0.963640465
GSM760044	1	1
GSM760045	1	0.995660819
GSM760046	1	0.994945504
GSM760047	1	1
GSM760048	1	0.994945504
GSM760049	1	0.981222944
GSM760050	1	1
GSM760051	1	0.994945504
GSM760052	1	0.994945504
GSM760053	1	1
GSM760054	1	1
GSM760055	1	1
GSM760056	1	0.970318806
GSM760057	1	0.993285068
GSM760058	1	0.993285068
GSM760059	1	0.994945504
GSM760060	1	1
GSM760061	1	0.995660819
GSM760062	1	0.99
GSM760063	1	0.983071698
GSM760064	1	1
GSM760065	1	1
GSM760066	1	1
GSM760067	1	1
GSM760068	1	0.994945504
GSM760069	1	0.99
GSM760070	1	0.993285068
GSM760071	1	1
GSM760072	1	1
GSM760073	1	1
GSM760074	1	0.99
GSM760075	1	1
GSM760076	1	1
GSM760077	1	1
GSM760078	1	1
GSM760079	1	1
GSM760080	1	1
GSM760081	1	1
GSM760082	1	1
GSM760083	1	0.995660819
GSM760084	1	1
GSM760085	1	1
GSM760086	1	1
GSM760087	1	1
GSM760088	1	1
GSM760089	1	1
GSM760090	1	1
GSM760091	1	1
GSM760092	1	1
GSM760093	1	1
GSM760094	1	1
GSM760095	1	0.99245935
GSM760096	1	1
GSM760097	1	0.985461056
GSM760098	1	0.990606323
GSM760099	1	1
GSM760100	1	1
GSM760101	1	0.993285068
GSM760102	1	0.940188933
GSM760103	1	0.96815701
GSM760104	1	1
GSM760105	1	1
GSM760106	1	0.988945887
GSM760107	1	0.973223979
GSM760108	1	0.98627744
GSM760109	1	0.993285068
GSM760110	1	1
GSM760111	1	1
GSM760112	1	1
GSM760113	1	1
GSM760114	1	0.991785978
GSM760115	1	1
GSM760116	1	1
GSM760117	1	0.99245935
GSM760118	1	1
GSM760119	1	1
GSM760120	1	1
GSM760121	1	1
GSM760122	1	1
GSM760123	1	0.99245935
GSM760172	0	0.014637512
GSM760173	0	0.064719405
GSM760175	0	0.08063512
GSM760176	0	0.067219722
GSM760177	0	0.076509964
GSM760178	0	0.012178543
GSM760181	0	0.012127152
GSM760183	0	0.031947771
GSM760184	0	0.020634117
GSM760185	0	0.139619526
GSM760189	0	0.01280885
GSM760190	0	0.034701555
GSM760191	0	0.079556767
GSM760193	0	0.073543838
GSM760194	0	0.031866001
GSM760196	0	0.053293264
GSM760198	0	0.040430128
GSM760199	0	0.131277029
GSM760201	0	0.067102677
GSM760203	0	0.08378734
GSM760174	0	0.085374604
GSM760179	0	0.073575502
GSM760180	0	0.287557621
GSM760182	0	0.01624194
GSM760186	0	0.021261232
GSM760187	0	0.025855591
GSM760188	0	0.071243871
GSM760192	0	0.108439235
GSM760195	0	0.058490156
GSM760197	0	0.022164937
GSM760200	0	0.067542007
GSM760202	0	0.019967074
