Feature	RF_FeatureImportance	MeanAbsSHAP
CD34	0.0507394355945318	0.02782114817788129
TGFB3	0.0419304804014593	0.01700618058020812
EZH2	0.038992645765302966	0.021036952786258313
PDGFRB	0.0380214655039669	0.02224300343176248
DCN	0.030089572978716495	0.012975776268712989
GIMAP4	0.029693322806266475	0.014114485463170883
ITGA10	0.02915393725849746	0.01073480039095253
F13A1	0.02862747071611786	0.013369433361932907
GIMAP8	0.026303730304229615	0.010709606046930959
GART	0.02584555134400211	0.014604814350618226
TIMP3	0.02423261433378153	0.013124428085402703
TGFBR2	0.0240777708920236	0.015208366324137072
CLDN5	0.02316521649932392	0.011154346244819511
PECAM1	0.022861164104696234	0.010587021704216847
KLF2	0.022400404875783445	0.012745733786250659
TIMP2	0.020573069665273877	0.011104496254726292
GNG11	0.017719521494180678	0.010987788385874591
ITPR1	0.01569354213937838	0.00668610320929765
CD93	0.013756883534384319	0.007290927869070678
VEGFC	0.013599169591744292	0.005967500662935274
HSPA4	0.01268722602037386	0.005604914654976288
ITGA8	0.012593989270664787	0.005517505644737342
CD36	0.012101932496250457	0.004154062771585227
LYVE1	0.01193360347048627	0.00951778155476025
IFIT2	0.011524456022762156	0.004354797642008347
FCN1	0.01112679917360129	0.003712598771935544
A2M	0.010032678933040334	0.00563022641281164
SPARC	0.009979291253867413	0.0047299195242985394
PPIF	0.008690846745487806	0.0068234282586052105
TERT	0.008426929425930067	0.00472203376925653
ACTA2	0.007847013745194278	0.004274380795802405
PDGFRA	0.007491779329890789	0.0025979881316190436
GMFG	0.007248606824765792	0.003583632977684389
CX3CR1	0.00718914808404501	0.0037399868507570263
ICAM2	0.007161728737101533	0.0027953489485088197
FCER1A	0.007041002054301669	0.0034630804387461816
AGTR1	0.006983613600801477	0.005724992893464503
CDK2	0.00679083887223556	0.0019223115609823223
COL3A1	0.006678496357252046	0.003419317588796078
F10	0.006677061353454613	0.0023876944696413116
RGS18	0.006655281390455585	0.0025924500067211944
NRP1	0.0066054526663740344	0.003288839807085368
CD14	0.006437705016886568	0.003240821896195368
FABP4	0.006344274493971605	0.0025095792100249775
ENG	0.006321295295978604	0.0031614814331149465
F12	0.006214956946091874	0.0024274206845271073
IL33	0.006214719159842344	0.0021341203938902154
C1S	0.006190322255099282	0.001931290942669713
TEK	0.006078964625730572	0.004145866738215185
FGL2	0.005801102029031854	0.0018881507712849757
GBP2	0.005760788456395224	0.002425745862102909
GSTM3	0.00575784532838137	0.003776908376105227
HGF	0.005680425582228416	0.002511352722886919
AIF1	0.005581359006016573	0.002479419234355069
PAK1	0.005512790839627657	0.002166826761156062
ITGA7	0.005361570819758033	0.002329531783833126
PLAT	0.005043809305342509	0.0018788621592360204
CDH5	0.004848774947517769	0.0043338698935178315
ILK	0.004736000136807527	0.003386211210211555
ALDH1A1	0.00462113898106307	0.0024899317842364183
SDC2	0.004369315670965891	0.0019133319434585692
ADH1B	0.004210312714992596	0.0025365147299926043
CD163	0.004081046699442275	0.0022501867931359696
CYP27A1	0.004025086971500586	0.0021479474397602125
HPRT1	0.003735205698638725	0.0018865133474530332
PPP1CA	0.003540165577812998	0.0023211264845365994
MKI67	0.003468078438641115	0.0020948275951743556
REM1	0.00293589149887427	0.0025195641068596103
BRCA1	0.0029075627102969335	0.0024961066975592587
SOX2	0.0025582250757682995	0.001778585980386134
CTSG	0.002520195163673887	0.0011508208521026247
TP53	0.0024841153589090204	0.0014450048336825667
HLA-DPA1	0.0022428587469713952	0.0011697514424337991
CSF1R	0.0021452827469486103	0.0016643643375793627
IL18R1	0.0021082832562169408	0.002468667659186038
VWF	0.0020804092722932267	0.001511623266214039
H2AFX	0.002049851224033907	0.0017596977245362391
CTGF	0.0020226965259883076	0.0017445531334640085
SNAI2	0.0018998934361408309	0.0010946906350061333
LCK	0.0018310384188845313	0.0008750166320667378
C6	0.0018309558413948349	0.0010411180436272103
ECH1	0.0018142672721739022	0.0006906660770576381
ACACB	0.0017727629649488806	0.0012153669053986333
ANGPT1	0.0017627887820925426	0.0010952792578417239
THPO	0.0017382900795389561	0.0019801253657675683
EGR1	0.0017262917411826923	0.0007489485414881878
YWHAE	0.0017168138535353329	0.0009160300859852437
CD81	0.0017061052477415233	0.0013976168195453486
CYB5A	0.0016813472926402026	0.0007846311545785828
SLC27A2	0.0016559797626334218	0.0007738089174614491
ARHGDIB	0.001640785752992191	0.0012550660996794893
LY96	0.0016356754287801347	0.0008406079915682308
FGFR1	0.0016278627816497632	0.001072085219388213
IRF3	0.0015918648629046053	0.0007561025734356095
JUN	0.0015084930816786429	0.0008883658958993218
PDGFB	0.0014916165287693496	0.0007929221847590177
ZBTB16	0.0014831974807274079	0.001195056880940745
HADH	0.0013942016713844247	0.0006973142177085368
CAV1	0.0013939923634771383	0.0022540043386121327
CALM1	0.0013910611226847956	0.0006675760750957857
IGF1	0.0013392246154198815	0.0009155722657297321
HSPD1	0.0013326109447520183	0.0008814952529658314
SKAP1	0.0012976691083813798	0.0010874584861711946
CLEC4A	0.001280486411395436	0.0012308392756917692
CXCL12	0.0012768742234827253	0.0018776320084482716
NFKB1	0.0012029554146005413	0.0006240156951830822
HMGB1	0.001196839894515987	0.0011203078733271839
HLA-DRB5	0.001179401874535815	0.0008801890107399868
APOB	0.0011565447697958217	0.0012615410404081605
ACAT1	0.0011465634988660383	0.00047305129951771266
GNG2	0.0011364380812059068	0.0008612472232114941
COL4A1	0.0011338767411682791	0.0007623156082065857
GPI	0.0011193854971936527	0.0005471403113033517
HDAC1	0.0011135437543263998	0.0005238702762981455
CX3CL1	0.001074227860776026	0.0014612282238711787
ITGB3	0.0010720105007544195	0.0007666277083895399
FOXO3	0.001060678358413457	0.0005392541166353138
OCLN	0.0010574941379780476	0.000749524380369135
TLR4	0.0010382466000804227	0.0009198547076931625
THBS1	0.0010213445872374295	0.0012501724482755238
GSR	0.000987259830626158	0.0007345855141835106
IRS1	0.0009756166669613092	0.0005534179680570922
BCL6	0.0009498222701214828	0.0005010610930396505
PLCG2	0.0009415220978557701	0.0008621309469888309
F2R	0.0009402901808117504	0.0005956545336276677
VIM	0.000920037198590713	0.0024695169695905933
ITGB2	0.0008983011314380446	0.0012928129387751142
HSP90AB1	0.000894099734892782	0.00048381823890341263
STAT2	0.0008764017177098779	0.0006131126663402588
RHOB	0.0008663242394229973	0.0006020174341624313
GJA1	0.0008325409543759394	0.0005168646081088572
FN1	0.0008319144407452842	0.0005400734758389029
ALOX5AP	0.0008318438368822319	0.00048822431776151637
RAB11A	0.0008100208477250419	0.0004513964139584426
VASP	0.0008056774954334708	0.00039169067792271806
CFH	0.0008009806527411289	0.0008369882965853935
TNFRSF1A	0.000797899176074198	0.001441159435147628
NGF	0.0007392710233391078	0.0007796194534403889
ANXA5	0.00072612048786734	0.001113556603683639
NCAM1	0.0007206919431524647	0.0006487750244251848
CLTC	0.0007032503028056344	0.0003278280757687947
GSN	0.0006928281837525514	0.00038533348342014584
STAT1	0.000691149144251976	0.0003965933220606843
NFE2L2	0.0006589883842050717	0.0006708400329317781
ACAT2	0.0006464231367592359	0.0004589308906115552
ALDH3A2	0.0006127221380994274	0.0002722823970302963
NR3C1	0.0005975819856348761	0.0008288873282252856
P2RX7	0.0005829358368783363	0.0009287813782276832
PIK3CB	0.0005820505070440633	0.00029559354762802986
SMAD3	0.0005757376229817944	0.00028165241401831184
GNAI3	0.0005727646107990535	0.00047926948558047616
MMP14	0.0005700347685023605	0.00038739962666490814
HMGCS1	0.0005687181634554037	0.0005023678683450028
RAC3	0.0005628755227558282	0.0008139428347467012
SERPING1	0.000544851166421135	0.0005317970467277742
H6PD	0.0005435323035025964	0.0003728849858080766
HMGCL	0.0005373678175949082	0.000382016373432463
MYOD1	0.00053440135346964	0.0002796414682495525
ISG15	0.0005318329106485662	0.0006727980641093311
OTC	0.0005297516464607077	0.00041801586828021193
F11R	0.0005244797667617044	0.0004203866126954797
GNG7	0.000524194117896466	0.000635443246100358
CTSK	0.0005070334226813985	0.000531295043790928
IL16	0.0004719829797746119	0.0007323460337960743
GBP5	0.00046900960515858887	0.00020485079361657346
FLT1	0.00046736028480093934	0.0002775692705086817
MLYCD	0.00046287887805827036	0.0004215796626891887
ITGA1	0.00044945476771418737	0.0003490536865213693
NR1H4	0.000444608560543146	0.0003513164678072169
AOX1	0.00044068094295163755	0.0014877896624332443
SLC9A3R1	0.0004347645205764222	0.0003382798244480407
PPARG	0.00042978266616440497	0.0007798323153072168
IL1R1	0.0004294644935417508	0.0002910240450931039
TKT	0.00039317127165079083	0.00044656794681662346
HK3	0.0003885078283680306	0.0004670199422355975
CAT	0.0003831675725998406	0.00025563713251214754
ITGB5	0.0003705186870730653	0.0002945998923532926
C1orf162	0.0003654508537779433	0.00038009919834524773
MDH2	0.0003644126274272755	0.00043609198212630525
FCER1G	0.00036059406506055465	0.0003816321584069351
MATK	0.00035937117061808735	0.000298551344947595
SQSTM1	0.00034417542722714077	0.0003303853854658884
AP2B1	0.0003414501307960542	0.00018256173907159066
IRF8	0.00033425868864907037	0.0009429637159567166
STAT5B	0.000326869770312552	0.00046533135875359024
ADRB2	0.0003253867949206802	0.00040520582221379337
TNFSF10	0.0003233571974639136	0.0003714526850512457
CXCL14	0.0003014041881731235	0.00024184998617509038
MICA	0.00029630734425987716	0.0003032275527193569
PLA2G1B	0.0002918691214599407	0.0005739297148732191
TNFRSF14	0.0002888852122708474	0.00015974863142639037
AKT1	0.000283609867228563	0.00017114423460599964
AVP	0.00028314750268478294	0.0003457896177492683
NCOA1	0.00027208348258584737	0.000752439040085864
CD22	0.00027145504728092953	0.0002097107888464634
IDH1	0.00026825115587193754	0.0003917234911965298
HAVCR2	0.00025645221532397393	0.00027460893177457945
IKBKG	0.0002560040987429521	0.00012342374671593157
ETFB	0.0002551041292671241	0.00024243842118734955
ALDH8A1	0.0002509344439950822	0.0001814294412832096
ACOX2	0.0002488516413583683	0.00036466202730572406
SOS1	0.00024400480876388963	0.0001775897763899914
MEF2C	0.00022702601186684132	0.00037394060903038533
SAA1	0.00022628793374634788	0.0001787723939710646
UBA52	0.00022034809603199	0.0001966488426022852
HAAO	0.00021511494458424277	0.00025342756043137706
MYO1G	0.00021475356898757367	0.0002390440320445579
CETP	0.00021263910270445034	0.00029159513550810204
GCK	0.0002111906923085416	0.00030975690002857153
NANOG	0.00020862109589237364	0.0006080389653719811
TLR2	0.00020785416738004333	0.0002845603834162648
SERPINA6	0.00020391076284914623	0.00025900864806496353
SRGN	0.00020146961669107062	0.000282103017275931
ADAM10	0.00020041897079502613	0.00020332332528116026
APOA5	0.0001970155696237764	0.00014003560251043472
COL5A1	0.00018450779193869625	0.0005679755548718324
GSK3B	0.0001826182807823864	0.00012002824263944954
LRP2	0.00017745937326587582	0.00017740927602695879
TLR10	0.00017509547197306223	0.00019386115465367214
KLRC2	0.000173046118180613	0.0002088558660036111
PVRL2	0.00017268593719486756	0.0002578008453542283
ANXA1	0.00016415430487866706	0.0005549892116828207
CDH17	0.00016144615383805814	0.00023433441708665644
BGN	0.00015712636444980573	0.0008284998511804577
TYROBP	0.0001534725832878031	0.0006279466197098808
ACADL	0.00015178840956948215	0.00025375149994008795
MET	0.00015042394742993573	0.0001613885811640291
ASS1	0.00014155612834991963	0.0003007920641713916
CD58	0.00013865151595669184	0.00016069621433976753
GNAI2	0.00013779866352223136	9.393439967387177e-05
HPX	0.00013365470454154677	0.00019054381600770574
PRKCZ	0.00013143021674621156	0.00030550449642290306
CCL5	0.00012282182361226463	0.0005283342876341992
LAP3	0.0001191286735766857	0.0001308660100210905
GP1BA	0.00011849088567418206	0.0001915641878113003
RXRA	0.00011823617068262968	0.00032374520979302845
MAF	0.00011008316885651672	0.0005016213422471733
FGF13	0.00010323699839063427	0.0001635610986746938
ITGA5	9.461291628003266e-05	0.0001709074053203173
MS4A6A	8.879514676064711e-05	0.00019090846422638492
CASP8	8.670827606130395e-05	0.0002281606930310837
YWHAB	8.619631295301691e-05	9.086397747197606e-05
TNFRSF25	8.59397772155549e-05	0.00010644835053761934
CYBA	8.561028928612954e-05	0.00010885327441797685
PDGFA	8.490170467645032e-05	0.00013452633251635093
MIF	8.4571026122684e-05	0.00015084628044987833
MMP7	8.438510739293494e-05	0.00013608634168346483
POSTN	8.420518004112506e-05	0.0001964342474406824
ACACA	8.264890427910452e-05	8.802559179592997e-05
PAK2	8.223241239156817e-05	0.0002142612083370449
HGFAC	8.144362799790522e-05	0.00016105774950345806
KRAS	8.050716746563293e-05	0.0004371467669348167
HMGCR	7.902905436457632e-05	0.000194031372565693
PGR	7.689033425611143e-05	0.00015494696762597795
IRAK1	7.665076816206436e-05	0.00023048914916782166
GC	7.565396462487419e-05	0.00014845173385209595
ACTB	7.515541723660836e-05	0.00020003348292003094
CALR	7.506366146366247e-05	0.0001475017124011199
IL7R	7.395652219598633e-05	0.00013179960863850582
THBD	7.371232867343339e-05	0.00013775145020752963
ITIH4	7.369475112938909e-05	0.00011585473509021341
SNCA	7.050532773943256e-05	0.0001551349079583282
NES	7.008534516846342e-05	0.00010427881124286613
C4A	6.999792304630668e-05	8.139283969106441e-05
LCP2	6.961262060042444e-05	0.00012164817756740585
PTEN	6.889075250768495e-05	0.00014347759954617113
GSTM1	6.832467756539063e-05	8.066696799961145e-05
BMP2	6.786225480881457e-05	9.023878687902873e-05
KLRD1	6.428705966070594e-05	0.00030403109337068745
ITGB1	5.864581883299451e-05	9.179709521805079e-05
VEGFA	5.778292535079839e-05	7.36478291214859e-05
CS	5.561646827667354e-05	0.00011461154089458499
CYP2C8	5.231378464845065e-05	0.00014124799095341703
NOD2	4.9108152002079595e-05	0.00010000697052585946
PCK1	4.285057998323534e-05	0.00016275622920679234
CCL11	3.985030833407306e-05	0.0001460671993811206
RDX	3.916532361183214e-05	0.00015547465285070184
CD55	3.773960529914019e-05	8.920746115474849e-05
CBFB	3.653836586436895e-05	9.465336013021404e-05
UBC	2.6750285311765844e-05	0.00013028992216092145
NAALADL1	2.542405303055458e-05	0.0001367497676128557
MAPT	2.4296887369246414e-05	0.0002650332461039248
THBS2	1.994198897576925e-05	0.00016947885273620064
CLEC12A	1.98535544985825e-05	8.26157424326412e-05
ENO2	1.972143177895923e-05	5.406745387405593e-05
AR	1.926764098844607e-05	0.00014321683190480147
HADHA	1.9117297502798035e-05	8.071470608458047e-05
BDNF	1.8900884572661666e-05	8.335213406973735e-05
RASA1	1.8515982831167398e-05	0.00013100737162487816
SERPINB5	1.8242801222374592e-05	8.64580303389778e-05
CD1D	1.8024056537375176e-05	0.00010547546777015398
ALDH1A2	1.4582370173402233e-05	0.00010454052566189667
POMC	1.4549885973472134e-05	6.995874382650306e-05
CYP2C18	1.3295173748146935e-05	4.863529397802609e-05
PCSK9	9.773258609600842e-06	4.210846419201351e-05
ORM2	5.511792933971303e-06	2.285015198553764e-05
DBNL	5.416344082569346e-06	3.457822309008605e-05
KLF4	5.384903459143978e-06	6.084446995017555e-05
SH2D1A	5.3798150290394174e-06	2.854892487090686e-05
ALDH1A3	5.374416889012825e-06	6.505536356478568e-05
POU5F1	5.370808437117685e-06	8.645875608295241e-05
HNF4A	5.321564823758951e-06	5.852316538254124e-05
TRAF3IP3	5.315279672481967e-06	2.474820208347248e-05
HLA-G	5.2939467021208695e-06	4.20388671080956e-05
TF	5.281667467106746e-06	5.206949358893975e-05
NLRP3	5.251710993008439e-06	0.00010815371190921081
MAPK9	5.194484507670162e-06	3.4278468729044286e-05
APOA1	5.159909300198241e-06	3.1364758166035026e-05
HRAS	5.155433805810706e-06	5.211241855432382e-05
HSPG2	4.943845518805628e-06	4.544284331553401e-05
GNB1	4.202621381180205e-06	4.593418372978359e-05
CD247	4.193011817106584e-06	2.5976051467271796e-05
NLRC4	4.124097096615768e-06	1.9010212947805876e-05
LCP1	4.080519941020984e-06	5.2468876750060485e-05
SULT1A1	4.022140515865618e-06	2.5137303627088996e-05
PLCG1	3.978352015066879e-06	2.179636898247116e-05
CD79B	3.916307596631097e-06	6.884285604015703e-05
ITK	3.839635576792953e-06	7.482629321526509e-05
ITGA2	3.771981330738099e-06	2.4895285934713005e-05
TTR	3.708394430845327e-06	3.534765623516235e-05
CARD9	3.1836598600661158e-06	2.463194381837419e-05
PPP2R1A	2.9675171715238814e-17	4.2475603403776623e-20
CD27	2.7429857806804197e-17	0.0
IDE	2.319999204265743e-17	9.306344105036273e-20
NT5E	2.073669590269032e-17	3.2112189726353886e-19
CD38	1.9272096453452286e-17	1.9832966569856787e-21
KLRK1	1.8782434555129593e-17	2.706208288456959e-18
PPP2CA	1.6481146916008517e-17	0.0
FBP1	1.622777697201274e-17	0.0
IL12RB1	1.507804073835406e-17	8.681054742347732e-20
