SampleID	Label	StemSCAPE-SI
TCGA-LP-A5U2-01A-11R-A28H-07	1	1
TCGA-DM-A28H-01A-11R-A16W-07	1	0.976273167
TCGA-AX-A3FV-01A-11R-A22K-07	1	0.956925033
TCGA-HD-A634-01A-11R-A28V-07	1	0.982061878
TCGA-D1-A2G0-01A-11R-A32Y-07	1	0.992765716
TCGA-NH-A50T-01A-11R-A28H-07	1	1
TCGA-G4-6626-01A-11R-1774-07	1	1
TCGA-66-2754-01A-01R-0980-07	1	0.97639099
TCGA-G2-A2EL-01A-12R-A18C-07	1	0.983751327
TCGA-AR-A0TU-01A-31R-A109-07	1	0.980515552
TCGA-DM-A1DB-01A-11R-A155-07	1	0.988893302
TCGA-A1-A0SO-01A-22R-A084-07	1	0.955257962
TCGA-BB-7870-01A-11R-2232-07	1	0.985926055
TCGA-DM-A1DA-01A-11R-A155-07	1	0.993285068
TCGA-XM-A8RL-01A-11R-A42C-07	1	0.95273464
TCGA-H5-A2HR-01A-11R-A180-07	1	0.98
TCGA-A6-6648-01A-11R-1774-07	1	0.987232866
TCGA-OL-A5D7-01A-11R-A27Q-07	1	0.949696511
TCGA-XF-A9ST-01A-11R-A42T-07	1	0.978404027
TCGA-4V-A9QT-01A-11R-A42C-07	1	0.985221405
TCGA-E2-A14N-01A-31R-A137-07	1	0.98023588
TCGA-A6-6780-01A-11R-1839-07	1	0.99245935
TCGA-D5-5540-01A-01R-1653-07	1	1
TCGA-DC-6682-01A-11R-1830-07	1	0.990515552
TCGA-A1-A0SK-01A-12R-A084-07	1	0.944688876
TCGA-X7-A8DB-01A-11R-A42C-07	1	0.937222299
TCGA-G4-6309-01A-21R-1839-07	1	1
TCGA-A6-5666-01A-01R-1653-07	1	0.977530395
TCGA-22-5481-01A-31R-1949-07	1	0.975399357
TCGA-AJ-A3TW-01A-11R-A22K-07	1	0.970172383
TCGA-AH-6897-01A-11R-1928-07	1	0.994945504
TCGA-G4-6304-01A-11R-1928-07	1	1
TCGA-RU-A8FL-01A-11R-A37K-07	1	0.98
TCGA-IN-A6RO-01A-12R-A33Y-31	1	0.984245327
TCGA-G4-6295-01A-11R-1723-07	1	0.990279561
TCGA-CN-A6V7-01A-12R-A34R-07	1	0.964219702
TCGA-DY-A1H8-01A-21R-A155-07	1	0.973780987
TCGA-ZJ-AAXB-01A-11R-A42T-07	1	0.98
TCGA-E2-A1II-01A-11R-A144-07	1	0.930310007
TCGA-BR-A4CR-01A-11R-A24K-31	1	0.967370385
TCGA-KP-A3VZ-01A-11R-A22K-07	1	0.952800611
TCGA-AD-6963-01A-11R-1928-07	1	1
TCGA-NH-A8F7-06A-31R-A41B-07	1	0.985071046
TCGA-R6-A8WC-01A-11R-A37I-31	1	0.985699398
TCGA-39-5037-01A-01R-1443-07	1	0.949829663
TCGA-C8-A1HJ-01A-11R-A13Q-07	1	0.786825066
TCGA-VR-AA4D-01A-11R-A37I-31	1	1
TCGA-CG-5726-01A-11R-1602-13	1	0.99348103
TCGA-D5-6537-01A-11R-1723-07	1	0.990279561
TCGA-ZB-A96P-01A-11R-A42S-07	1	0.973450565
TCGA-78-7155-01A-11R-2039-07	1	0.930452114
TCGA-HU-A4H0-01A-11R-A251-31	1	0.97851846
TCGA-VS-A8EC-01A-11R-A36F-07	1	0.982350358
TCGA-JY-A6F8-01A-11R-A336-31	1	0.9574707
TCGA-D7-8573-01A-11R-2343-13	1	0.983861435
TCGA-R5-A7ZF-01A-11R-A354-31	1	0.984432768
TCGA-VS-A9UV-01A-11R-A42T-07	1	0.995660819
TCGA-DM-A28M-01A-12R-A16W-07	1	1
TCGA-DK-AA6T-01A-11R-A39I-07	1	0.885350992
TCGA-BH-A18T-01A-11R-A12D-07	1	0.971707932
TCGA-CK-5914-01A-11R-1653-07	1	1
TCGA-R6-A6XG-01B-11R-A336-31	1	0.940677961
TCGA-LN-A49V-01A-11R-A24K-31	1	0.974390899
TCGA-D5-6532-01A-11R-1723-07	1	1
TCGA-Q1-A73S-01A-11R-A33Z-07	1	0.986731482
TCGA-CN-4730-01A-01R-1436-07	1	0.967169005
TCGA-44-7667-01A-31R-2066-07	1	0.898805667
TCGA-69-8255-01A-11R-2287-07	1	0.865981371
TCGA-RD-A7BT-01A-11R-A33Y-31	1	0.976305721
TCGA-CM-4744-01A-01R-A32Z-07	1	0.991785978
TCGA-ZB-A96O-01A-11R-A42S-07	1	0.961853003
TCGA-CG-4436-01A-01R-1157-13	1	0.975461056
TCGA-ZF-AA4T-01A-11R-A38B-07	1	0.99245935
TCGA-AA-A01Z-01A-11R-A083-07	1	0.993285068
TCGA-QG-A5YX-01A-11R-A28H-07	1	0.99
TCGA-AN-A0AT-01A-11R-A034-07	1	0.919779981
TCGA-33-AASJ-01A-11R-A405-07	1	0.982134581
TCGA-DC-6160-01A-11R-1660-07	1	0.97538104
TCGA-DC-5337-01A-01R-1660-07	1	0.983838806
TCGA-HU-A4G9-01A-11R-A24K-31	1	0.995660819
TCGA-EA-A1QT-01A-11R-A14Y-07	1	0.958815229
TCGA-D8-A1Y3-01A-11R-A157-07	1	0.89752507
TCGA-AZ-4315-01A-01R-1410-07	1	1
TCGA-AH-6544-01A-11R-1830-07	1	1
TCGA-CD-8528-01A-11R-2343-13	1	0.923455095
TCGA-E9-A22G-01A-11R-A157-07	1	0.948404027
TCGA-G4-6588-01A-11R-1774-07	1	1
TCGA-SL-A6J9-01A-11R-A31O-07	1	0.949156373
TCGA-5M-AAT5-01A-21R-A41B-07	1	1
TCGA-C5-A905-01A-11R-A37O-07	1	0.97507098
TCGA-DM-A0X9-01A-11R-A155-07	1	1
TCGA-BH-A1FC-01A-11R-A13Q-07	1	0.950770931
TCGA-V5-AASW-01A-11R-A406-31	1	1
TCGA-85-8354-01A-31R-2326-07	1	0.976470583
TCGA-D7-6528-01A-11R-1802-13	1	0.972620757
TCGA-R6-A6DN-01B-11R-A31P-31	1	0.965711998
TCGA-AX-A3GI-01A-11R-A213-07	1	0.977664747
TCGA-GM-A3XL-01A-11R-A22U-07	1	1
TCGA-O2-A52S-01A-11R-A262-07	1	0.978806939
TCGA-HU-A4GN-01A-11R-A251-31	1	0.991402086
TCGA-VQ-A8E3-01A-11R-A39E-31	1	0.917144132
TCGA-A8-A07O-01A-11R-A00Z-07	1	0.888765065
TCGA-VS-A9UD-01A-11R-A42T-07	1	0.936658329
TCGA-33-4583-01A-01R-1443-07	1	0.984245327
TCGA-CN-A63U-01A-11R-A30B-07	1	0.974245327
TCGA-VQ-A8P2-01A-11R-A36D-31	1	1
TCGA-CK-4952-01A-01R-1723-07	1	1
TCGA-JW-A5VK-01A-11R-A28H-07	1	1
TCGA-A2-A0D0-01A-11R-A00Z-07	1	0.938412021
TCGA-AJ-A3EM-01A-11R-A213-07	1	0.97851853
TCGA-BR-8372-01A-11R-2343-13	1	0.937142293
